head,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,action
"['148.5', '43.5', '1']","['172.5', '78.75', '1']","['117.75', '75.0', '1']","['180.0', '134.25', '1']","['109.5', '126.75', '0']","['171.75', '135.0', '0']","['137.25', '130.5', '0']","['165.0', '174.0', '1']","['111.0', '183.75', '1']","['151.5', '254.25', '1']","['108.0', '252.75', '1']","['147.75', '311.25', '1']","['101.25', '309.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['347.52475247524757', '56.13861386138614', '1']","['356.21287128712873', '82.20297029702971', '0']","['358.21782178217825', '88.21782178217822', '1']","['364.23267326732673', '112.27722772277228', '0']","['360.89108910891093', '116.2871287128713', '1']","['333.49009900990103', '115.61881188118812', '0']","['338.83663366336634', '126.31188118811882', '1']","['347.52475247524757', '150.37128712871288', '0']","['358.8861386138614', '151.70792079207922', '1']","['344.1831683168317', '193.14356435643566', '1']","['358.21782178217825', '193.14356435643566', '1']","['344.1831683168317', '241.93069306930695', '1']","['368.91089108910893', '237.92079207920793', '1']",baseball_pitch
,,,,,,,,,,,,,
"['296.73267326732673', '30.742574257425744', '1']","['330.1485148514852', '55.47029702970298', '1']","['294.0594059405941', '52.7970297029703', '1']","['332.1534653465347', '102.25247524752476', '0']","['279.3564356435644', '96.23762376237624', '1']","['322.7970297029703', '115.61881188118812', '0']","['267.3267326732673', '75.51980198019803', '1']","['328.14356435643566', '139.6782178217822', '1']","['302.0792079207921', '124.30693069306932', '1']","['318.11881188118815', '195.81683168316832', '1']","['294.0594059405941', '195.14851485148515', '1']","['316.7821782178218', '254.62871287128715', '1']","['286.03960396039605', '258.63861386138615', '1']",baseball_pitch
,,,,,,,,,,,,,
"['217.87128712871288', '78.1930693069307', '1']","['193.14356435643566', '100.24752475247526', '1']","['229.9009900990099', '103.5891089108911', '1']","['182.45049504950495', '125.64356435643565', '1']","['232.5742574257426', '135.66831683168317', '1']","['201.1633663366337', '119.62871287128714', '1']","['224.55445544554456', '128.9851485148515', '1']","['196.4851485148515', '147.6980198019802', '1']","['225.22277227722773', '149.03465346534654', '1']","['201.83168316831686', '198.490099009901', '1']","['218.53960396039605', '201.83168316831686', '1']","['200.49504950495052', '244.6039603960396', '1']","['211.85643564356437', '233.24257425742576', '1']",baseball_pitch
,,,,,,,,,,,,,
"['188.0', '116.66666666666666', '1']","['180.66666666666666', '130.66666666666666', '1']","['184.0', '130.0', '0']","['185.33333333333331', '150.0', '1']","['196.66666666666666', '149.33333333333331', '0']","['197.33333333333331', '139.33333333333331', '1']","['202.66666666666666', '143.33333333333331', '1']","['180.66666666666666', '174.66666666666666', '1']","['194.0', '172.66666666666666', '0']","['182.0', '202.0', '1']","['192.66666666666666', '197.33333333333331', '0']","['178.0', '230.0', '1']","['187.33333333333331', '224.66666666666666', '0']",baseball_pitch
,,,,,,,,,,,,,
"['174.0', '116.0', '1']","['194.0', '162.66666666666666', '0']","['180.66666666666666', '135.33333333333331', '1']","['158.0', '150.66666666666666', '0']","['178.66666666666666', '158.0', '1']","['148.0', '164.0', '0']","['164.0', '162.66666666666666', '1']","['181.33333333333331', '188.66666666666666', '0']","['180.0', '166.66666666666666', '1']","['168.66666666666666', '201.33333333333331', '0']","['177.33333333333331', '204.0', '1']","['165.33333333333331', '222.66666666666666', '0']","['180.66666666666666', '234.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['163.33333333333331', '122.66666666666666', '1']","['166.66666666666666', '148.66666666666666', '0']","['174.0', '143.33333333333331', '1']","['163.33333333333331', '168.0', '0']","['172.66666666666666', '166.66666666666666', '1']","['141.33333333333331', '185.33333333333331', '0']","['152.66666666666666', '158.66666666666666', '1']","['176.0', '185.33333333333331', '1']","['190.0', '179.33333333333331', '1']","['171.33333333333331', '210.0', '1']","['176.66666666666666', '208.66666666666666', '1']","['175.33333333333331', '236.66666666666666', '1']","['188.66666666666666', '234.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['181.33333333333331', '128.0', '1']","['172.66666666666666', '143.33333333333331', '1']","['182.66666666666666', '144.0', '0']","['180.0', '167.33333333333331', '1']","['188.0', '162.66666666666666', '0']","['193.33333333333331', '156.66666666666666', '1']","['206.66666666666666', '174.66666666666666', '0']","['166.66666666666666', '181.33333333333331', '1']","['182.0', '186.0', '0']","['178.0', '212.0', '1']","['195.33333333333331', '204.0', '0']","['167.33333333333331', '238.0', '1']","['182.0', '235.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['177.33333333333331', '121.33333333333333', '1']","['166.66666666666666', '136.66666666666666', '1']","['176.0', '142.66666666666666', '0']","['164.0', '158.66666666666666', '1']","['184.66666666666666', '162.0', '0']","['174.66666666666666', '167.33333333333331', '1']","['186.66666666666666', '166.66666666666666', '0']","['165.33333333333331', '174.0', '1']","['178.0', '174.0', '0']","['170.0', '204.0', '1']","['177.33333333333331', '202.66666666666666', '0']","['161.33333333333331', '234.0', '1']","['171.33333333333331', '222.66666666666666', '0']",baseball_pitch
,,,,,,,,,,,,,
"['189.0', '75.0', '1']","['227.25', '121.5', '0']","['199.5', '110.25', '1']","['194.25', '133.5', '0']","['177.0', '144.75', '1']","['228.75', '148.5', '0']","['157.5', '120.75', '1']","['228.0', '174.75', '0']","['210.75', '171.0', '1']","['202.5', '222.0', '0']","['201.75', '214.5', '1']","['211.5', '272.25', '0']","['203.25', '273.75', '1']",baseball_pitch
,,,,,,,,,,,,,
"['192.75', '63.0', '1']","['175.5', '87.0', '0']","['219.0', '93.75', '1']","['156.75', '110.25', '1']","['214.5', '130.5', '1']","['175.5', '95.25', '0']","['194.25', '105.0', '1']","['180.75', '149.25', '1']","['210.75', '153.75', '1']","['185.25', '216.0', '1']","['210.75', '219.0', '1']","['192.75', '266.25', '1']","['216.75', '267.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['101.25', '31.5', '1']","['121.5', '72.0', '1']","['62.25', '70.5', '0']","['162.0', '111.75', '1']","['102.0', '134.25', '0']","['144.0', '78.0', '0']","['130.5', '111.0', '0']","['107.25', '185.25', '1']","['68.25', '171.0', '1']","['117.75', '268.5', '1']","['75.75', '263.25', '1']","['111.75', '332.25', '1']","['68.25', '329.25', '1']",baseball_pitch
,,,,,,,,,,,,,
"['266.0', '32.0', '1']","['248.66666666666666', '61.33333333333333', '1']","['300.66666666666663', '58.666666666666664', '1']","['242.66666666666666', '87.33333333333333', '1']","['300.66666666666663', '84.66666666666666', '1']","['262.66666666666663', '56.0', '1']","['284.66666666666663', '52.666666666666664', '1']","['255.33333333333331', '113.33333333333333', '1']","['296.0', '122.0', '1']","['254.66666666666666', '177.33333333333331', '1']","['293.3333333333333', '178.66666666666666', '1']","['248.66666666666666', '230.0', '1']","['306.0', '231.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['190.0', '51.33333333333333', '1']","['178.66666666666666', '72.66666666666666', '1']","['162.66666666666666', '78.0', '0']","['197.33333333333331', '100.0', '1']","['179.33333333333331', '82.0', '0']","['202.0', '80.66666666666666', '1']","['140.66666666666666', '55.33333333333333', '0']","['178.66666666666666', '132.66666666666666', '1']","['156.0', '140.0', '0']","['185.33333333333331', '180.0', '1']","['172.0', '181.33333333333331', '1']","['182.0', '222.66666666666666', '1']","['170.0', '216.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['279.0', '72.0', '1']","['275.25', '110.25', '0']","['300.0', '96.0', '1']","['270.0', '150.75', '1']","['276.0', '138.75', '1']","['245.25', '126.75', '1']","['252.75', '111.75', '1']","['264.75', '204.75', '0']","['311.25', '178.5', '1']","['279.75', '265.5', '0']","['308.25', '261.75', '1']","['252.75', '323.25', '0']","['312.0', '333.75', '1']",baseball_pitch
,,,,,,,,,,,,,
"['407.25', '108.75', '1']","['426.75', '141.75', '1']","['381.75', '141.0', '1']","['417.0', '184.5', '0']","['371.25', '174.75', '1']","['423.75', '133.5', '0']","['412.5', '141.75', '0']","['409.5', '210.0', '1']","['382.5', '210.0', '1']","['411.0', '261.0', '1']","['380.25', '261.0', '1']","['405.0', '308.25', '1']","['379.5', '309.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['156.75', '51.0', '1']","['169.5', '80.25', '1']","['127.5', '87.0', '1']","['214.5', '104.25', '1']","['146.25', '136.5', '0']","['179.25', '84.75', '0']","['162.75', '111.0', '0']","['180.75', '188.25', '1']","['129.0', '183.75', '1']","['172.5', '258.0', '1']","['127.5', '254.25', '1']","['166.5', '333.75', '1']","['121.5', '330.75', '1']",baseball_pitch
,,,,,,,,,,,,,
"['244.0', '85.33333333333333', '1']","['230.0', '102.66666666666666', '0']","['257.3333333333333', '98.0', '1']","['229.33333333333331', '121.33333333333333', '1']","['269.3333333333333', '122.66666666666666', '1']","['240.0', '106.0', '1']","['256.0', '106.0', '1']","['240.66666666666666', '141.33333333333331', '1']","['260.66666666666663', '140.66666666666666', '1']","['246.0', '178.66666666666666', '1']","['258.0', '184.0', '1']","['244.66666666666666', '215.33333333333331', '1']","['258.66666666666663', '216.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['171.0', '82.5', '1']","['188.25', '113.25', '1']","['144.0', '113.25', '1']","['209.25', '159.75', '1']","['209.25', '159.0', '0']","['170.25', '181.5', '0']","['256.5', '140.25', '0']","['185.25', '186.0', '1']","['144.0', '189.0', '1']","['192.75', '252.75', '1']","['139.5', '256.5', '1']","['199.5', '308.25', '1']","['137.25', '309.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['292.0', '36.0', '1']","['281.3333333333333', '58.0', '1']","['308.66666666666663', '54.666666666666664', '1']","['276.0', '90.0', '1']","['311.3333333333333', '90.0', '1']","['273.3333333333333', '104.0', '1']","['292.0', '106.66666666666666', '1']","['282.66666666666663', '120.0', '0']","['311.3333333333333', '109.33333333333333', '1']","['285.3333333333333', '154.66666666666666', '1']","['298.66666666666663', '156.0', '1']","['290.66666666666663', '196.66666666666666', '1']","['307.3333333333333', '202.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['297.10833333333335', '98.54583333333333', '1']","['319.90625', '117.66666666666667', '1']","['280.9291666666667', '120.60833333333335', '1']","['327.2604166666667', '147.81875000000002', '1']","['271.36875000000003', '145.6125', '1']","['307.4041666666667', '119.1375', '0']","['306.66875000000005', '119.1375', '0']","['311.81666666666666', '180.91250000000002', '1']","['283.1354166666667', '180.91250000000002', '1']","['311.08125', '213.27083333333334', '1']","['280.9291666666667', '209.59375000000003', '1']","['313.2875', '241.2166666666667', '1']","['276.5166666666667', '242.68750000000003', '1']",baseball_pitch
,,,,,,,,,,,,,
"['152.0', '25.333333333333332', '1']","['138.66666666666666', '40.666666666666664', '1']","['168.66666666666666', '48.666666666666664', '0']","['161.33333333333331', '58.666666666666664', '1']","['168.0', '72.66666666666666', '1']","['176.0', '42.666666666666664', '1']","['185.33333333333331', '54.666666666666664', '1']","['138.66666666666666', '92.0', '1']","['156.0', '99.33333333333333', '0']","['144.66666666666666', '144.66666666666666', '1']","['161.33333333333331', '142.66666666666666', '1']","['137.33333333333331', '194.0', '1']","['156.66666666666666', '188.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['122.66666666666666', '22.0', '1']","['130.66666666666666', '47.33333333333333', '1']","['118.0', '56.0', '0']","['164.0', '73.33333333333333', '1']","['151.33333333333331', '83.33333333333333', '0']","['148.66666666666666', '68.66666666666666', '0']","['124.66666666666666', '104.0', '0']","['132.0', '120.0', '1']","['111.33333333333333', '119.33333333333333', '0']","['137.33333333333331', '192.0', '1']","['111.33333333333333', '192.0', '1']","['142.0', '241.33333333333331', '1']","['101.33333333333333', '242.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['293.25', '51.0', '1']","['281.25', '71.25', '1']","['298.5', '75.0', '0']","['282.0', '105.75', '1']","['250.5', '92.25', '0']","['299.25', '129.75', '1']","['307.5', '150.0', '0']","['282.0', '133.5', '1']","['283.5', '139.5', '0']","['298.5', '174.0', '1']","['312.0', '174.0', '0']","['281.25', '216.0', '1']","['291.0', '215.25', '0']",baseball_pitch
,,,,,,,,,,,,,
"['269.25', '42.75', '1']","['260.25', '57.0', '1']","['258.75', '56.25', '0']","['264.0', '66.75', '1']","['250.5', '66.0', '0']","['278.25', '72.0', '0']","['250.5', '93.0', '0']","['254.25', '84.75', '1']","['266.25', '89.25', '0']","['255.75', '106.5', '1']","['269.25', '108.0', '0']","['250.5', '134.25', '1']","['268.5', '136.5', '1']",baseball_pitch
,,,,,,,,,,,,,
"['151.03960396039605', '9.356435643564357', '1']","['164.40594059405942', '43.440594059405946', '1']","['124.30693069306932', '40.76732673267327', '1']","['184.45544554455446', '76.85643564356437', '1']","['120.96534653465348', '72.17821782178218', '0']","['175.76732673267327', '40.099009900990104', '0']","['170.42079207920793', '37.42574257425743', '0']","['172.42574257425744', '112.94554455445545', '1']","['134.33168316831683', '120.96534653465348', '1']","['171.0891089108911', '177.1039603960396', '1']","['133.66336633663366', '173.76237623762378', '1']","['163.06930693069307', '235.24752475247527', '1']","['128.9851485148515', '229.23267326732676', '1']",baseball_pitch
,,,,,,,,,,,,,
"['120.66666666666666', '50.0', '1']","['104.66666666666666', '62.0', '1']","['134.0', '67.33333333333333', '1']","['101.33333333333333', '80.66666666666666', '1']","['126.0', '90.66666666666666', '1']","['110.66666666666666', '74.0', '0']","['118.0', '77.33333333333333', '1']","['103.33333333333333', '121.33333333333333', '1']","['127.33333333333333', '110.66666666666666', '1']","['106.0', '156.0', '1']","['124.66666666666666', '146.0', '1']","['103.33333333333333', '185.33333333333331', '1']","['130.0', '188.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['180.66666666666666', '62.0', '1']","['160.66666666666666', '75.33333333333333', '0']","['190.0', '78.0', '1']","['146.0', '85.33333333333333', '1']","['184.0', '94.0', '1']","['160.66666666666666', '73.33333333333333', '0']","['172.66666666666666', '78.66666666666666', '1']","['167.33333333333331', '113.33333333333333', '1']","['188.66666666666666', '112.66666666666666', '1']","['169.33333333333331', '150.66666666666666', '1']","['194.66666666666666', '150.66666666666666', '1']","['173.33333333333331', '182.0', '1']","['207.33333333333331', '179.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['347.3333333333333', '44.0', '1']","['330.0', '66.66666666666666', '0']","['358.0', '61.33333333333333', '1']","['320.0', '77.33333333333333', '0']","['348.66666666666663', '88.66666666666666', '1']","['316.0', '68.0', '0']","['332.0', '72.66666666666666', '1']","['333.3333333333333', '110.66666666666666', '1']","['353.3333333333333', '109.33333333333333', '1']","['333.3333333333333', '156.0', '1']","['352.66666666666663', '156.0', '1']","['329.3333333333333', '193.33333333333331', '1']","['352.0', '196.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['154.66666666666666', '38.666666666666664', '1']","['138.0', '63.33333333333333', '0']","['170.66666666666666', '62.0', '1']","['115.33333333333333', '84.66666666666666', '1']","['164.0', '90.0', '1']","['142.0', '128.66666666666666', '0']","['142.66666666666666', '71.33333333333333', '1']","['142.66666666666666', '139.33333333333331', '1']","['167.33333333333331', '138.0', '1']","['143.33333333333331', '165.33333333333331', '1']","['179.33333333333331', '168.66666666666666', '1']","['144.66666666666666', '199.33333333333331', '1']","['192.66666666666666', '208.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['228.66666666666666', '38.0', '1']","['214.0', '63.33333333333333', '1']","['248.66666666666666', '58.0', '1']","['208.66666666666666', '92.66666666666666', '0']","['256.0', '93.33333333333333', '1']","['204.66666666666666', '109.33333333333333', '1']","['230.66666666666666', '100.0', '1']","['215.33333333333331', '128.0', '1']","['246.0', '123.33333333333333', '1']","['221.33333333333331', '165.33333333333331', '1']","['250.0', '164.0', '1']","['223.33333333333331', '199.33333333333331', '1']","['258.0', '199.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['177.33333333333331', '60.0', '1']","['151.33333333333331', '75.33333333333333', '1']","['191.33333333333331', '80.0', '1']","['137.33333333333331', '111.33333333333333', '1']","['197.33333333333331', '118.66666666666666', '1']","['151.33333333333331', '100.0', '0']","['168.66666666666666', '108.0', '1']","['156.0', '146.66666666666666', '1']","['188.0', '144.66666666666666', '1']","['158.0', '194.0', '1']","['197.33333333333331', '187.33333333333331', '1']","['162.66666666666666', '228.0', '1']","['206.0', '224.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['132.66666666666666', '67.33333333333333', '1']","['129.33333333333331', '80.66666666666666', '1']","['141.33333333333331', '86.0', '1']","['126.0', '97.33333333333333', '0']","['132.0', '104.66666666666666', '1']","['121.33333333333333', '90.0', '1']","['113.33333333333333', '97.33333333333333', '1']","['126.66666666666666', '122.0', '0']","['140.66666666666666', '124.0', '1']","['126.0', '158.0', '1']","['140.0', '158.0', '1']","['135.33333333333331', '186.66666666666666', '1']","['149.33333333333331', '195.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['218.66666666666666', '46.666666666666664', '1']","['171.33333333333331', '80.0', '0']","['231.33333333333331', '70.66666666666666', '1']","['191.33333333333331', '102.0', '1']","['241.33333333333331', '96.66666666666666', '1']","['214.0', '82.0', '1']","['221.33333333333331', '79.33333333333333', '1']","['198.0', '137.33333333333331', '1']","['225.33333333333331', '137.33333333333331', '1']","['195.33333333333331', '174.66666666666666', '1']","['226.66666666666666', '182.0', '1']","['200.66666666666666', '216.66666666666666', '1']","['226.66666666666666', '213.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['256.66666666666663', '75.33333333333333', '1']","['254.66666666666666', '89.33333333333333', '0']","['259.3333333333333', '93.33333333333333', '1']","['253.33333333333331', '112.0', '0']","['257.3333333333333', '109.33333333333333', '1']","['249.33333333333331', '96.0', '0']","['250.0', '98.0', '1']","['258.66666666666663', '128.0', '0']","['258.0', '129.33333333333331', '1']","['259.3333333333333', '156.0', '0']","['256.0', '156.0', '1']","['262.0', '182.0', '0']","['264.0', '184.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['346.66666666666663', '65.33333333333333', '1']","['369.3333333333333', '81.33333333333333', '1']","['347.3333333333333', '88.0', '1']","['352.66666666666663', '119.33333333333333', '1']","['339.3333333333333', '115.33333333333333', '1']","['328.66666666666663', '85.33333333333333', '1']","['328.0', '98.66666666666666', '1']","['367.3333333333333', '141.33333333333331', '1']","['350.0', '140.0', '1']","['356.0', '177.33333333333331', '1']","['344.0', '176.66666666666666', '1']","['364.66666666666663', '211.33333333333331', '1']","['352.0', '222.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['123.33333333333333', '59.33333333333333', '1']","['108.0', '80.66666666666666', '1']","['132.66666666666666', '84.0', '1']","['112.66666666666666', '113.33333333333333', '1']","['141.33333333333331', '116.66666666666666', '1']","['142.0', '89.33333333333333', '1']","['153.33333333333331', '100.66666666666666', '1']","['113.33333333333333', '146.66666666666666', '1']","['134.66666666666666', '150.0', '1']","['119.33333333333333', '203.33333333333331', '1']","['134.0', '199.33333333333331', '1']","['112.0', '243.33333333333331', '1']","['140.0', '240.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['94.5', '73.5', '1']","['97.5', '108.75', '0']","['99.75', '96.75', '1']","['93.0', '143.25', '0']","['99.75', '139.5', '1']","['73.5', '129.0', '0']","['70.5', '128.25', '1']","['184.5', '180.75', '0']","['132.0', '162.0', '1']","['100.5', '209.25', '0']","['122.25', '228.0', '1']","['128.25', '271.5', '1']","['142.5', '279.75', '1']",baseball_pitch
,,,,,,,,,,,,,
"['301', '75', '1']","['286', '151', '0']","['316', '122', '1']","['274', '174', '0']","['317', '180', '1']","['261', '195', '0']","['284', '190', '1']","['292', '232', '0']","['321', '213', '1']","['270', '282', '0']","['306', '298', '1']","['1', '1', '0']","['205', '286', '0']",baseball_pitch
,,,,,,,,,,,,,
"['303.0', '85.5', '1']","['321.75', '108.75', '0']","['310.5', '108.0', '1']","['339.75', '162.75', '0']","['313.5', '135.0', '1']","['336.75', '191.25', '0']","['291.75', '152.25', '1']","['329.25', '168.75', '0']","['309.0', '169.5', '1']","['318.75', '228.0', '0']","['314.25', '221.25', '1']","['325.5', '269.25', '0']","['326.25', '270.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['282.75', '75.75', '1']","['287.25', '105.75', '0']","['290.25', '102.75', '1']","['324.0', '150.75', '0']","['297.0', '136.5', '1']","['270.75', '144.75', '0']","['272.25', '147.75', '1']","['274.5', '192.75', '0']","['286.5', '166.5', '1']","['278.25', '222.0', '0']","['282.75', '214.5', '1']","['294.75', '270.0', '0']","['295.5', '268.5', '1']",baseball_pitch
,,,,,,,,,,,,,
"['243.0', '104.25', '1']","['237.0', '126.0', '1']","['256.5', '119.25', '1']","['236.25', '153.75', '0']","['259.5', '159.75', '1']","['231.75', '159.75', '0']","['236.25', '170.25', '1']","['234.0', '184.5', '1']","['252.75', '184.5', '1']","['240.75', '238.5', '1']","['243.0', '230.25', '1']","['254.25', '288.75', '1']","['257.25', '288.75', '1']",baseball_pitch
,,,,,,,,,,,,,
