head,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,action
"['151.03960396039605', '9.356435643564357', '1']","['164.40594059405942', '43.440594059405946', '1']","['124.30693069306932', '40.76732673267327', '1']","['184.45544554455446', '76.85643564356437', '1']","['120.96534653465348', '72.17821782178218', '0']","['175.76732673267327', '40.099009900990104', '0']","['170.42079207920793', '37.42574257425743', '0']","['172.42574257425744', '112.94554455445545', '1']","['134.33168316831683', '120.96534653465348', '1']","['171.0891089108911', '177.1039603960396', '1']","['133.66336633663366', '173.76237623762378', '1']","['163.06930693069307', '235.24752475247527', '1']","['128.9851485148515', '229.23267326732676', '1']",0
"['164.0', '82.66666666666666', '1']","['163.33333333333331', '114.0', '1']","['196.66666666666666', '118.66666666666666', '0']","['162.66666666666666', '151.33333333333331', '1']","['191.33333333333331', '137.33333333333331', '0']","['164.66666666666666', '180.66666666666666', '1']","['195.33333333333331', '160.0', '0']","['173.33333333333331', '185.33333333333331', '1']","['142.0', '184.0', '1']","['190.0', '221.33333333333331', '1']","['143.33333333333331', '219.33333333333331', '1']","['203.33333333333331', '261.3333333333333', '1']","['134.66666666666666', '264.0', '1']",0
"['108.0', '54.0', '1']","['117.0', '81.0', '1']","['79.5', '75.0', '1']","['127.5', '106.5', '1']","['132.0', '105.0', '0']","['127.5', '84.0', '0']","['121.5', '114.0', '0']","['118.5', '144.0', '1']","['85.5', '142.5', '1']","['117.0', '193.5', '1']","['84.0', '195.0', '1']","['115.5', '232.5', '1']","['76.5', '237.0', '1']",0
"['206.66666666666666', '64.66666666666666', '1']","['183.33333333333331', '89.33333333333333', '1']","['221.33333333333331', '83.33333333333333', '1']","['190.0', '117.33333333333333', '1']","['223.33333333333331', '114.66666666666666', '1']","['204.0', '144.66666666666666', '1']","['222.0', '136.66666666666666', '1']","['189.33333333333331', '132.66666666666666', '0']","['216.0', '132.66666666666666', '0']","['194.66666666666666', '167.33333333333331', '1']","['212.0', '176.0', '1']","['196.0', '215.33333333333331', '1']","['206.66666666666666', '206.0', '1']",0
"['116.0', '13.333333333333332', '1']","['137.33333333333331', '46.666666666666664', '1']","['92.0', '48.0', '1']","['154.0', '80.0', '1']","['136.0', '85.33333333333333', '0']","['153.33333333333331', '51.33333333333333', '0']","['111.33333333333333', '84.0', '0']","['132.0', '122.0', '1']","['92.66666666666666', '112.0', '1']","['132.66666666666666', '179.33333333333331', '1']","['101.33333333333333', '182.0', '1']","['128.66666666666666', '239.33333333333331', '1']","['94.0', '234.0', '1']",0
"['204.0', '57.0', '1']","['177.0', '80.25', '1']","['211.5', '83.25', '1']","['196.5', '122.25', '1']","['225.0', '124.5', '1']","['219.0', '97.5', '1']","['233.25', '105.0', '1']","['180.75', '166.5', '1']","['213.0', '165.0', '1']","['196.5', '221.25', '1']","['216.0', '216.75', '1']","['181.5', '278.25', '1']","['224.25', '262.5', '1']",0
"['165.33333333333331', '36.666666666666664', '1']","['174.0', '64.0', '1']","['142.66666666666666', '66.0', '1']","['195.33333333333331', '104.66666666666666', '1']","['168.0', '110.66666666666666', '0']","['166.0', '86.66666666666666', '0']","['174.0', '112.66666666666666', '0']","['168.66666666666666', '154.66666666666666', '1']","['142.0', '142.66666666666666', '1']","['168.66666666666666', '210.0', '1']","['149.33333333333331', '206.66666666666666', '1']","['164.0', '265.3333333333333', '1']","['148.66666666666666', '262.66666666666663', '1']",0
"['276.0', '53.33333333333333', '1']","['264.0', '74.0', '1']","['284.0', '72.66666666666666', '1']","['260.66666666666663', '105.33333333333333', '1']","['287.3333333333333', '102.66666666666666', '1']","['282.66666666666663', '121.33333333333333', '1']","['232.66666666666666', '92.66666666666666', '0']","['262.0', '128.0', '1']","['280.0', '151.33333333333331', '0']","['264.0', '173.33333333333331', '1']","['296.0', '168.0', '1']","['255.33333333333331', '216.66666666666666', '1']","['283.3333333333333', '202.0', '1']",0
"['296.0', '10.666666666666666', '1']","['279.3333333333333', '51.33333333333333', '1']","['310.66666666666663', '57.33333333333333', '1']","['264.0', '96.66666666666666', '1']","['293.3333333333333', '92.66666666666666', '1']","['251.33333333333331', '75.33333333333333', '1']","['270.0', '68.0', '1']","['268.66666666666663', '141.33333333333331', '1']","['296.0', '138.66666666666666', '1']","['272.0', '194.0', '1']","['286.66666666666663', '196.0', '1']","['276.0', '238.66666666666666', '1']","['302.66666666666663', '247.33333333333331', '1']",0
"['215', '67', '1']","['232', '90', '1']","['193', '85', '1']","['238', '111', '0']","['186', '105', '0']","['242', '116', '0']","['180', '106', '0']","['228', '146', '1']","['185', '144', '1']","['218', '206', '1']","['185', '206', '1']","['216', '252', '1']","['182', '253', '1']",0
"['213.98333333333332', '189.40416666666667', '1']","['208.2', '203.86249999999998', '1']","['213.26041666666666', '203.13958333333332', '0']","['221.2125', '216.15208333333334', '1']","['224.82708333333332', '213.98333333333332', '0']","['228.44166666666666', '202.41666666666666', '1']","['242.9', '226.99583333333334', '0']","['208.92291666666665', '234.225', '1']","['200.24791666666667', '247.96041666666667', '0']","['213.98333333333332', '263.14166666666665', '1']","['226.99583333333334', '255.18958333333333', '0']","['209.64583333333334', '292.78125', '1']","['219.76666666666665', '282.66041666666666', '0']",0
"['144.75', '39.0', '1']","['120.0', '75.75', '1']","['153.75', '82.5', '1']","['150.75', '120.75', '1']","['177.0', '137.25', '1']","['174.0', '78.0', '1']","['189.0', '95.25', '1']","['113.25', '183.0', '1']","['144.75', '183.0', '1']","['143.25', '253.5', '1']","['153.75', '253.5', '0']","['118.5', '327.0', '1']","['136.5', '309.75', '0']",0
"['141.0', '98.25', '1']","['125.25', '117.75', '1']","['156.75', '111.75', '1']","['129.75', '151.5', '1']","['174.0', '132.0', '0']","['147.75', '138.0', '1']","['174.0', '135.0', '1']","['134.25', '174.75', '1']","['159.75', '172.5', '1']","['138.75', '219.0', '1']","['162.75', '216.75', '1']","['138.0', '259.5', '1']","['161.25', '257.25', '1']",0
"['208.66666666666666', '29.333333333333332', '1']","['172.66666666666666', '50.666666666666664', '0']","['226.0', '49.33333333333333', '1']","['160.66666666666666', '78.0', '1']","['228.0', '84.66666666666666', '1']","['184.66666666666666', '53.33333333333333', '1']","['201.33333333333331', '65.33333333333333', '1']","['185.33333333333331', '114.0', '1']","['223.33333333333331', '116.66666666666666', '1']","['187.33333333333331', '181.33333333333331', '1']","['230.66666666666666', '182.0', '1']","['188.66666666666666', '238.66666666666666', '1']","['248.66666666666666', '238.66666666666666', '1']",0
"['310.66666666666663', '75.33333333333333', '1']","['301.3333333333333', '91.33333333333333', '1']","['326.0', '90.66666666666666', '1']","['298.0', '112.0', '1']","['330.0', '112.66666666666666', '1']","['302.0', '122.66666666666666', '1']","['314.66666666666663', '121.33333333333333', '1']","['303.3333333333333', '130.0', '1']","['326.66666666666663', '128.66666666666666', '1']","['308.0', '164.66666666666666', '1']","['320.66666666666663', '165.33333333333331', '1']","['307.3333333333333', '195.33333333333331', '1']","['324.0', '192.0', '1']",0
"['179.33333333333331', '68.66666666666666', '1']","['162.0', '81.33333333333333', '1']","['182.0', '83.33333333333333', '1']","['159.33333333333331', '101.33333333333333', '1']","['150.66666666666666', '102.66666666666666', '0']","['180.66666666666666', '102.66666666666666', '1']","['150.66666666666666', '132.66666666666666', '0']","['158.66666666666666', '120.0', '1']","['157.33333333333331', '125.33333333333333', '0']","['160.66666666666666', '157.33333333333331', '1']","['179.33333333333331', '157.33333333333331', '1']","['149.33333333333331', '191.33333333333331', '1']","['181.33333333333331', '188.66666666666666', '1']",0
"['181.33333333333331', '47.33333333333333', '1']","['167.33333333333331', '68.66666666666666', '1']","['196.0', '68.0', '1']","['162.0', '97.33333333333333', '1']","['203.33333333333331', '94.66666666666666', '1']","['172.66666666666666', '82.66666666666666', '1']","['186.0', '86.66666666666666', '1']","['167.33333333333331', '112.0', '1']","['192.66666666666666', '114.0', '1']","['172.66666666666666', '159.33333333333331', '1']","['193.33333333333331', '162.0', '1']","['174.0', '200.66666666666666', '1']","['200.66666666666666', '200.0', '1']",0
"['284.25', '62.25', '1']","['261.0', '94.5', '0']","['312.75', '88.5', '1']","['252.0', '137.25', '1']","['289.5', '120.75', '1']","['248.25', '95.25', '1']","['266.25', '90.0', '1']","['265.5', '163.5', '1']","['311.25', '160.5', '1']","['276.0', '253.5', '1']","['308.25', '254.25', '1']","['279.75', '309.75', '1']","['303.75', '312.0', '1']",0
"['323.1333333333333', '71.53333333333333', '1']","['367.53333333333336', '103.60000000000001', '1']","['316.9666666666667', '101.13333333333334', '1']","['381.1', '162.8', '1']","['300.93333333333334', '166.5', '1']","['376.1666666666667', '129.5', '0']","['298.4666666666667', '160.33333333333334', '0']","['372.4666666666667', '198.56666666666666', '1']","['323.1333333333333', '205.96666666666667', '1']","['355.20000000000005', '270.1', '1']","['326.83333333333337', '273.8', '1']","['347.8', '350.2666666666667', '0']","['340.40000000000003', '363.83333333333337', '1']",0
"['246.0', '20.666666666666664', '1']","['230.0', '50.0', '0']","['267.3333333333333', '51.33333333333333', '1']","['224.0', '76.0', '1']","['264.0', '84.0', '1']","['232.0', '63.33333333333333', '0']","['248.0', '64.0', '1']","['236.0', '122.0', '1']","['262.0', '120.0', '1']","['239.33333333333331', '165.33333333333331', '1']","['264.0', '164.66666666666666', '1']","['242.66666666666666', '202.66666666666666', '1']","['274.0', '206.66666666666666', '1']",0
"['372.66666666666663', '23.333333333333332', '1']","['400.0', '40.666666666666664', '1']","['365.3333333333333', '44.666666666666664', '1']","['410.0', '57.33333333333333', '0']","['345.3333333333333', '66.0', '1']","['364.0', '42.666666666666664', '0']","['353.3333333333333', '41.33333333333333', '0']","['414.0', '112.0', '1']","['378.0', '116.0', '1']","['406.66666666666663', '176.0', '1']","['373.3333333333333', '181.33333333333331', '1']","['406.66666666666663', '229.33333333333331', '1']","['362.66666666666663', '232.66666666666666', '1']",0
"['90.66666666666666', '47.33333333333333', '1']","['75.33333333333333', '58.666666666666664', '1']","['106.0', '66.0', '1']","['44.666666666666664', '72.66666666666666', '1']","['85.33333333333333', '94.66666666666666', '1']","['51.33333333333333', '58.666666666666664', '0']","['69.33333333333333', '70.0', '1']","['91.33333333333333', '122.66666666666666', '1']","['125.33333333333333', '120.0', '1']","['87.33333333333333', '168.66666666666666', '1']","['114.66666666666666', '173.33333333333331', '1']","['96.0', '210.0', '1']","['121.33333333333333', '225.33333333333331', '1']",0
"['96', '128', '1']","['66', '162', '0']","['114', '162', '1']","['38', '198', '1']","['106', '196', '1']","['51', '161', '0']","['71', '155', '1']","['85', '246', '1']","['121', '242', '1']","['75', '318', '1']","['140', '317', '1']","['71', '377', '1']","['167', '377', '1']",0
"['303.75', '15.0', '1']","['266.25', '72.0', '0']","['323.25', '48.75', '1']","['294.75', '102.0', '1']","['288.75', '86.25', '1']","['265.5', '81.0', '1']","['265.5', '64.5', '1']","['287.25', '123.75', '0']","['336.0', '120.75', '1']","['285.75', '193.5', '0']","['317.25', '195.75', '1']","['353.25', '256.5', '1']","['312.0', '270.0', '1']",0
"['280.6879606879607', '73.51351351351352', '1']","['295.3906633906634', '89.55282555282555', '1']","['278.014742014742', '93.56265356265357', '1']","['273.33660933660934', '108.93366093366093', '0']","['270.66339066339066', '122.2997542997543', '1']","['266.65356265356263', '94.23095823095822', '0']","['261.3071253071253', '103.58722358722359', '1']","['310.09336609336606', '151.7051597051597', '1']","['289.3759213759214', '152.37346437346437', '1']","['297.3955773955774', '194.47665847665846', '1']","['284.69778869778867', '194.47665847665846', '1']","['297.3955773955774', '230.56511056511056', '1']","['278.68304668304665', '231.9017199017199', '1']",0
"['322.66666666666663', '36.0', '1']","['316.66666666666663', '62.0', '1']","['338.66666666666663', '61.33333333333333', '1']","['305.3333333333333', '94.0', '1']","['315.3333333333333', '89.33333333333333', '1']","['293.3333333333333', '70.66666666666666', '1']","['304.0', '62.0', '1']","['325.3333333333333', '128.66666666666666', '0']","['336.0', '136.0', '1']","['321.3333333333333', '186.0', '0']","['330.66666666666663', '186.0', '1']","['333.3333333333333', '228.66666666666666', '1']","['348.66666666666663', '232.66666666666666', '1']",0
"['135.75', '86.25', '1']","['152.25', '114.0', '1']","['109.5', '112.5', '0']","['158.25', '143.25', '0']","['159.0', '139.5', '0']","['158.25', '121.5', '0']","['160.5', '108.75', '0']","['144.0', '161.25', '1']","['111.0', '162.0', '0']","['140.25', '221.25', '1']","['113.25', '219.75', '1']","['138.75', '275.25', '1']","['103.5', '266.25', '1']",0
"['93.0', '73.5', '1']","['109.5', '96.75', '1']","['74.25', '96.75', '1']","['78.0', '132.0', '0']","['96.0', '123.0', '0']","['109.5', '123.75', '0']","['174.75', '151.5', '0']","['107.25', '152.25', '1']","['78.0', '147.75', '1']","['104.25', '201.0', '1']","['79.5', '198.0', '1']","['96.75', '249.0', '1']","['75.0', '248.25', '1']",0
"['248', '62', '1']","['228', '90', '1']","['249', '99', '0']","['228', '129', '1']","['250', '134', '1']","['260', '117', '1']","['262', '123', '0']","['210', '155', '1']","['232', '163', '0']","['212', '210', '1']","['242', '211', '1']","['195', '257', '1']","['235', '255', '1']",0
"['216.66666666666666', '52.666666666666664', '1']","['202.0', '74.0', '1']","['224.0', '78.0', '1']","['214.0', '106.0', '1']","['232.66666666666666', '115.33333333333333', '1']","['231.33333333333331', '85.33333333333333', '1']","['239.33333333333331', '94.66666666666666', '1']","['196.0', '126.66666666666666', '1']","['215.33333333333331', '124.66666666666666', '1']","['208.0', '188.66666666666666', '1']","['220.66666666666666', '189.33333333333331', '1']","['191.33333333333331', '241.33333333333331', '1']","['217.33333333333331', '236.0', '1']",0
"['123.0', '24.75', '1']","['141.75', '79.5', '1']","['83.25', '73.5', '1']","['150.75', '137.25', '1']","['71.25', '130.5', '0']","['153.75', '146.25', '0']","['58.5', '149.25', '0']","['119.25', '164.25', '1']","['84.0', '162.0', '1']","['132.0', '246.75', '1']","['91.5', '246.0', '1']","['133.5', '314.25', '1']","['74.25', '312.0', '1']",0
"['200.0', '36.666666666666664', '1']","['185.33333333333331', '62.0', '1']","['208.0', '62.666666666666664', '0']","['182.66666666666666', '96.0', '1']","['224.66666666666666', '90.0', '0']","['214.0', '94.0', '1']","['214.66666666666666', '93.33333333333333', '0']","['196.0', '124.66666666666666', '1']","['208.66666666666666', '126.0', '0']","['198.0', '164.0', '1']","['214.0', '153.33333333333331', '0']","['191.33333333333331', '198.0', '1']","['188.66666666666666', '190.66666666666666', '0']",0
"['207.33333333333331', '69.33333333333333', '1']","['186.0', '93.33333333333333', '0']","['226.66666666666666', '86.0', '1']","['174.66666666666666', '116.66666666666666', '1']","['229.33333333333331', '115.33333333333333', '1']","['189.33333333333331', '98.0', '1']","['200.66666666666666', '96.66666666666666', '1']","['193.33333333333331', '147.33333333333331', '1']","['220.66666666666666', '146.66666666666666', '1']","['193.33333333333331', '194.0', '1']","['227.33333333333331', '192.0', '1']","['195.33333333333331', '232.66666666666666', '1']","['240.0', '235.33333333333331', '1']",0
"['171.75', '122.25', '1']","['154.5', '138.75', '1']","['193.5', '138.75', '1']","['147.0', '166.5', '1']","['201.0', '165.75', '1']","['157.5', '156.75', '0']","['173.25', '162.0', '1']","['158.25', '188.25', '1']","['191.25', '194.25', '1']","['163.5', '244.5', '1']","['190.5', '246.0', '1']","['163.5', '279.75', '1']","['193.5', '283.5', '1']",0
"['118.40208333333334', '50.00833333333334', '1']","['136.05208333333334', '80.16041666666668', '1']","['97.81041666666667', '80.89583333333334', '1']","['171.35208333333335', '119.87291666666667', '1']","['197.82708333333335', '122.07916666666668', '0']","['166.20416666666668', '93.39791666666667', '1']","['236.06875000000002', '191.20833333333334', '0']","['145.6125', '172.82291666666669', '1']","['100.75208333333335', '177.23541666666668', '1']","['169.88125000000002', '226.50833333333335', '1']","['106.63541666666667', '239.01041666666669', '1']","['169.88125000000002', '286.07708333333335', '1']","['105.9', '302.9916666666667', '1']",0
"['233.25', '54.0', '1']","['211.5', '71.25', '1']","['247.5', '73.5', '0']","['208.5', '98.25', '1']","['252.75', '90.75', '1']","['220.5', '82.5', '1']","['240.0', '79.5', '1']","['216.75', '120.0', '1']","['237.0', '118.5', '1']","['213.0', '156.75', '1']","['238.5', '162.0', '1']","['210.75', '192.75', '1']","['236.25', '192.0', '1']",0
"['304.0', '90.0', '1']","['273.3333333333333', '115.33333333333333', '0']","['315.3333333333333', '106.0', '1']","['272.0', '114.66666666666666', '1']","['314.66666666666663', '126.66666666666666', '1']","['290.0', '104.0', '1']","['301.3333333333333', '115.33333333333333', '1']","['286.66666666666663', '157.33333333333331', '1']","['312.66666666666663', '156.66666666666666', '1']","['280.0', '186.0', '1']","['320.0', '187.33333333333331', '1']","['270.66666666666663', '221.33333333333331', '1']","['331.3333333333333', '217.33333333333331', '1']",4
"['222.0', '54.0', '1']","['207.33333333333331', '72.66666666666666', '1']","['248.66666666666666', '69.33333333333333', '0']","['226.66666666666666', '82.0', '1']","['278.0', '56.0', '1']","['250.0', '58.0', '1']","['264.66666666666663', '48.0', '1']","['215.33333333333331', '144.66666666666666', '1']","['250.66666666666666', '141.33333333333331', '1']","['204.0', '191.33333333333331', '1']","['270.0', '186.0', '1']","['190.0', '229.33333333333331', '1']","['281.3333333333333', '228.0', '1']",4
"['241.33333333333331', '82.66666666666666', '1']","['214.0', '98.66666666666666', '0']","['249.33333333333331', '94.66666666666666', '1']","['201.33333333333331', '100.0', '1']","['238.66666666666666', '106.0', '1']","['211.33333333333331', '89.33333333333333', '1']","['222.66666666666666', '92.66666666666666', '1']","['232.0', '137.33333333333331', '1']","['254.0', '133.33333333333331', '1']","['214.0', '168.0', '1']","['259.3333333333333', '168.66666666666666', '1']","['212.0', '200.0', '1']","['276.0', '199.33333333333331', '1']",4
"['169.75247524752476', '57.475247524752476', '1']","['143.01980198019803', '82.87128712871288', '1']","['149.03465346534654', '77.52475247524752', '0']","['141.0148514851485', '108.93564356435644', '1']","['192.4752475247525', '113.61386138613862', '1']","['181.78217821782178', '90.22277227722773', '1']","['198.490099009901', '105.5940594059406', '1']","['124.97524752475248', '151.70792079207922', '1']","['157.72277227722773', '154.38118811881188', '1']","['157.05445544554456', '206.50990099009903', '1']","['171.75742574257427', '187.79702970297032', '1']","['132.32673267326734', '263.31683168316835', '1']","['171.0891089108911', '229.23267326732676', '1']",4
"['193.33333333333331', '49.33333333333333', '1']","['168.66666666666666', '66.66666666666666', '1']","['204.66666666666666', '68.0', '1']","['130.0', '82.0', '1']","['179.33333333333331', '83.33333333333333', '1']","['142.66666666666666', '62.666666666666664', '0']","['149.33333333333331', '58.0', '1']","['174.0', '138.66666666666666', '1']","['211.33333333333331', '137.33333333333331', '1']","['174.0', '186.66666666666666', '1']","['220.0', '179.33333333333331', '1']","['162.0', '236.0', '1']","['232.66666666666666', '228.66666666666666', '1']",4
"['234.66666666666666', '96.66666666666666', '1']","['217.33333333333331', '117.33333333333333', '1']","['249.33333333333331', '122.66666666666666', '1']","['183.33333333333331', '129.33333333333331', '1']","['239.33333333333331', '143.33333333333331', '1']","['194.0', '122.66666666666666', '1']","['204.66666666666666', '125.33333333333333', '1']","['220.0', '185.33333333333331', '1']","['250.0', '177.33333333333331', '1']","['204.66666666666666', '221.33333333333331', '1']","['266.66666666666663', '227.33333333333331', '1']","['200.66666666666666', '256.66666666666663', '1']","['299.3333333333333', '254.66666666666666', '1']",4
"['218.0', '54.666666666666664', '1']","['204.66666666666666', '71.33333333333333', '1']","['228.66666666666666', '76.0', '1']","['178.0', '78.66666666666666', '1']","['205.33333333333331', '85.33333333333333', '1']","['182.0', '67.33333333333333', '0']","['188.66666666666666', '70.66666666666666', '1']","['206.66666666666666', '128.0', '1']","['234.66666666666666', '123.33333333333333', '1']","['199.33333333333331', '160.0', '1']","['238.66666666666666', '161.33333333333331', '1']","['204.0', '192.66666666666666', '1']","['264.66666666666663', '195.33333333333331', '1']",4
"['278.0', '58.666666666666664', '1']","['304.0', '74.0', '1']","['284.66666666666663', '89.33333333333333', '1']","['330.0', '92.66666666666666', '0']","['255.33333333333331', '101.33333333333333', '1']","['270.66666666666663', '138.66666666666666', '0']","['264.0', '80.66666666666666', '1']","['281.3333333333333', '150.0', '0']","['318.66666666666663', '141.33333333333331', '1']","['283.3333333333333', '186.66666666666666', '0']","['294.0', '192.0', '1']","['321.3333333333333', '234.0', '0']","['306.66666666666663', '235.33333333333331', '1']",4
"['191', '86', '1']","['215', '85', '1']","['202', '114', '1']","['194', '134', '0']","['171', '122', '1']","['212', '139', '0']","['169', '93', '1']","['213', '174', '0']","['235', '171', '1']","['204', '225', '1']","['233', '230', '1']","['211', '266', '1']","['259', '288', '1']",4
"['220.0', '41.33333333333333', '1']","['196.0', '70.0', '1']","['238.66666666666666', '76.0', '1']","['162.66666666666666', '94.0', '1']","['216.66666666666666', '99.33333333333333', '1']","['166.0', '81.33333333333333', '1']","['186.66666666666666', '79.33333333333333', '1']","['197.33333333333331', '149.33333333333331', '1']","['244.0', '158.66666666666666', '1']","['193.33333333333331', '196.0', '1']","['250.66666666666666', '196.0', '1']","['180.0', '244.0', '1']","['267.3333333333333', '224.66666666666666', '1']",4
"['224.0', '35.33333333333333', '1']","['200.0', '51.33333333333333', '1']","['234.66666666666666', '57.33333333333333', '1']","['168.0', '73.33333333333333', '1']","['214.66666666666666', '70.66666666666666', '1']","['184.0', '56.666666666666664', '1']","['189.33333333333331', '54.0', '1']","['196.66666666666666', '116.66666666666666', '1']","['229.33333333333331', '118.0', '1']","['188.0', '158.0', '1']","['238.66666666666666', '151.33333333333331', '1']","['174.66666666666666', '196.66666666666666', '1']","['252.0', '193.33333333333331', '1']",4
"['241.33333333333331', '44.0', '1']","['218.0', '67.33333333333333', '1']","['268.0', '72.66666666666666', '1']","['188.66666666666666', '81.33333333333333', '1']","['259.3333333333333', '94.66666666666666', '1']","['214.0', '59.33333333333333', '1']","['228.66666666666666', '62.0', '1']","['216.66666666666666', '139.33333333333331', '1']","['266.0', '138.0', '1']","['201.33333333333331', '201.33333333333331', '1']","['264.0', '201.33333333333331', '1']","['195.33333333333331', '229.33333333333331', '1']","['282.0', '235.33333333333331', '1']",4
"['288.66666666666663', '72.0', '1']","['262.66666666666663', '96.0', '1']","['302.66666666666663', '103.33333333333333', '1']","['234.0', '103.33333333333333', '1']","['278.66666666666663', '132.0', '1']","['245.33333333333331', '98.66666666666666', '0']","['256.0', '113.33333333333333', '1']","['269.3333333333333', '145.33333333333331', '1']","['302.0', '144.66666666666666', '1']","['258.66666666666663', '204.66666666666666', '1']","['312.0', '208.0', '1']","['252.0', '244.0', '1']","['333.3333333333333', '242.0', '1']",4
