head,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,action
"['47.25', '20.25', '1']","['83.25', '72.0', '1']","['15.0', '66.75', '1']","['101.25', '137.25', '1']","['5.25', '138.75', '1']","['144.0', '147.75', '0']","['192.0', '144.0', '0']","['68.25', '160.5', '1']","['15.0', '155.25', '1']","['89.25', '267.0', '1']","['12.0', '264.75', '1']","['78.0', '348.75', '1']","['6.0', '353.25', '1']",0
"['110', '102', '1']","['83', '136', '1']","['130', '133', '0']","['96', '180', '1']","['157', '177', '1']","['118', '131', '1']","['150', '136', '1']","['79', '229', '1']","['117', '230', '1']","['118', '317', '1']","['128', '312', '1']","['89', '400', '1']","['130', '383', '1']",0
"['185.25', '75.0', '1']","['185.25', '102.75', '1']","['157.5', '98.25', '1']","['206.25', '138.0', '1']","['145.5', '147.75', '0']","['221.25', '113.25', '1']","['207.0', '108.0', '1']","['171.75', '180.75', '1']","['153.75', '179.25', '1']","['174.0', '241.5', '1']","['168.0', '247.5', '1']","['174.0', '287.25', '1']","['163.5', '282.0', '1']",0
"['106.0', '36.666666666666664', '1']","['122.0', '64.66666666666666', '1']","['81.33333333333333', '66.0', '1']","['138.66666666666666', '88.0', '1']","['71.33333333333333', '92.66666666666666', '0']","['140.66666666666666', '102.66666666666666', '0']","['140.66666666666666', '91.33333333333333', '0']","['118.66666666666666', '119.33333333333333', '1']","['84.66666666666666', '118.0', '1']","['111.33333333333333', '185.33333333333331', '1']","['84.66666666666666', '191.33333333333331', '1']","['113.33333333333333', '244.66666666666666', '1']","['80.0', '238.66666666666666', '1']",0
"['112.8', '92.39999999999999', '1']","['97.2', '117.6', '1']","['127.19999999999999', '115.19999999999999', '1']","['110.39999999999999', '145.2', '1']","['144.0', '146.4', '1']","['138.0', '126.0', '1']","['158.4', '130.79999999999998', '0']","['104.39999999999999', '180.0', '1']","['130.79999999999998', '186.0', '1']","['116.39999999999999', '224.4', '1']","['132.0', '224.4', '1']","['112.8', '274.8', '1']","['130.79999999999998', '268.8', '1']",0
"['185.25', '79.5', '1']","['204.0', '135.0', '0']","['197.25', '103.5', '1']","['222.75', '146.25', '0']","['161.25', '128.25', '1']","['162.75', '100.5', '0']","['150.0', '107.25', '1']","['222.75', '181.5', '0']","['208.5', '166.5', '1']","['201.0', '219.0', '0']","['191.25', '218.25', '1']","['210.75', '269.25', '1']","['187.5', '275.25', '1']",0
"['160.5', '85.5', '1']","['133.5', '101.25', '1']","['179.25', '114.0', '1']","['93.0', '107.25', '1']","['159.0', '133.5', '1']","['111.75', '100.5', '1']","['124.5', '114.0', '1']","['138.75', '184.5', '1']","['170.25', '180.75', '1']","['141.75', '239.25', '1']","['182.25', '242.25', '1']","['129.75', '297.0', '1']","['192.0', '285.0', '1']",4
"['193.14356435643566', '54.801980198019805', '1']","['159.05940594059408', '71.50990099009901', '1']","['208.51485148514854', '78.1930693069307', '1']","['123.63861386138615', '106.93069306930694', '1']","['201.83168316831686', '109.60396039603961', '1']","['137.67326732673268', '88.21782178217822', '1']","['160.39603960396042', '90.89108910891089', '1']","['157.05445544554456', '155.04950495049505', '1']","['204.5049504950495', '154.38118811881188', '1']","['142.35148514851485', '214.52970297029705', '1']","['233.24257425742576', '210.51980198019803', '1']","['121.63366336633663', '265.32178217821786', '1']","['257.970297029703', '256.63366336633663', '1']",4
"['207.33333333333331', '54.666666666666664', '1']","['188.66666666666666', '73.33333333333333', '1']","['229.33333333333331', '76.0', '1']","['202.66666666666666', '102.0', '1']","['247.33333333333331', '103.33333333333333', '1']","['226.66666666666666', '88.0', '1']","['244.66666666666666', '88.0', '1']","['185.33333333333331', '146.66666666666666', '1']","['221.33333333333331', '150.66666666666666', '1']","['174.0', '190.66666666666666', '1']","['228.0', '189.33333333333331', '1']","['156.0', '223.33333333333331', '1']","['236.66666666666666', '225.33333333333331', '1']",4
"['286.5', '122.25', '1']","['267.75', '138.0', '0']","['306.0', '139.5', '1']","['235.5', '141.0', '1']","['291.0', '165.75', '1']","['254.25', '132.0', '0']","['267.0', '150.75', '1']","['269.25', '195.0', '1']","['303.75', '195.0', '1']","['261.0', '253.5', '1']","['320.25', '253.5', '1']","['243.75', '297.0', '1']","['345.75', '290.25', '1']",4
"['310.0', '95.33333333333333', '1']","['297.3333333333333', '117.33333333333333', '1']","['338.0', '112.0', '1']","['324.66666666666663', '132.0', '1']","['368.66666666666663', '128.66666666666666', '1']","['349.3333333333333', '112.0', '1']","['356.66666666666663', '107.33333333333333', '1']","['304.0', '169.33333333333331', '1']","['339.3333333333333', '170.66666666666666', '1']","['281.3333333333333', '227.33333333333331', '1']","['345.3333333333333', '222.66666666666666', '1']","['265.3333333333333', '261.3333333333333', '1']","['365.3333333333333', '264.66666666666663', '1']",4
"['236.0', '54.0', '1']","['211.33333333333331', '75.33333333333333', '0']","['253.33333333333331', '80.0', '1']","['179.33333333333331', '60.666666666666664', '1']","['227.33333333333331', '91.33333333333333', '1']","['198.0', '50.666666666666664', '1']","['215.33333333333331', '67.33333333333333', '1']","['228.66666666666666', '152.0', '1']","['256.66666666666663', '150.0', '1']","['204.0', '194.66666666666666', '1']","['270.0', '195.33333333333331', '1']","['191.33333333333331', '242.66666666666666', '1']","['298.66666666666663', '242.0', '1']",4
"['273.75', '108.75', '1']","['265.5', '132.0', '1']","['299.25', '121.5', '1']","['289.5', '151.5', '1']","['337.5', '146.25', '1']","['315.0', '133.5', '1']","['330.75', '129.0', '1']","['264.75', '192.75', '1']","['299.25', '202.5', '1']","['252.75', '252.75', '1']","['319.5', '254.25', '1']","['226.5', '306.75', '1']","['319.5', '303.0', '1']",4
"['283.3333333333333', '67.33333333333333', '1']","['271.3333333333333', '89.33333333333333', '1']","['295.3333333333333', '81.33333333333333', '1']","['300.66666666666663', '101.33333333333333', '1']","['312.0', '87.33333333333333', '1']","['322.0', '84.0', '1']","['315.3333333333333', '79.33333333333333', '0']","['252.66666666666666', '134.0', '1']","['279.3333333333333', '136.66666666666666', '1']","['258.66666666666663', '172.0', '1']","['290.66666666666663', '168.66666666666666', '1']","['228.0', '206.66666666666666', '1']","['281.3333333333333', '200.66666666666666', '1']",4
"['316.0', '68.66666666666666', '1']","['313.3333333333333', '101.33333333333333', '0']","['324.0', '90.66666666666666', '1']","['317.3333333333333', '124.0', '0']","['302.66666666666663', '94.66666666666666', '1']","['302.0', '102.0', '0']","['302.0', '74.66666666666666', '1']","['335.3333333333333', '142.0', '1']","['347.3333333333333', '136.66666666666666', '1']","['323.3333333333333', '177.33333333333331', '1']","['360.0', '177.33333333333331', '1']","['330.0', '214.66666666666666', '1']","['374.66666666666663', '220.66666666666666', '1']",4
"['306.66666666666663', '40.0', '1']","['290.0', '61.33333333333333', '1']","['329.3333333333333', '60.666666666666664', '1']","['286.66666666666663', '76.66666666666666', '1']","['354.0', '68.66666666666666', '1']","['314.0', '52.666666666666664', '1']","['333.3333333333333', '41.33333333333333', '1']","['284.66666666666663', '120.66666666666666', '1']","['322.66666666666663', '122.66666666666666', '1']","['272.66666666666663', '180.0', '1']","['331.3333333333333', '180.66666666666666', '1']","['254.66666666666666', '222.66666666666666', '1']","['348.0', '224.66666666666666', '1']",4
"['105.75', '69.0', '1']","['77.25', '120.0', '1']","['123.0', '105.0', '1']","['88.5', '104.25', '1']","['151.5', '131.25', '1']","['113.25', '78.0', '1']","['141.0', '96.0', '1']","['90.0', '201.0', '1']","['116.25', '201.0', '1']","['114.0', '266.25', '1']","['131.25', '251.25', '0']","['77.25', '342.0', '1']","['123.75', '285.75', '0']",4
"['258.0', '98.39999999999999', '1']","['236.39999999999998', '127.19999999999999', '1']","['282.0', '122.39999999999999', '1']","['303.59999999999997', '129.6', '1']","['312.0', '135.6', '0']","['306.0', '136.79999999999998', '1']","['325.2', '129.6', '0']","['232.79999999999998', '194.4', '0']","['238.79999999999998', '190.79999999999998', '1']","['208.79999999999998', '246.0', '1']","['270.0', '253.2', '1']","['190.79999999999998', '306.0', '1']","['322.8', '294.0', '1']",4
"['220.5', '93.0', '1']","['193.5', '139.5', '0']","['240.0', '114.0', '1']","['172.5', '124.5', '1']","['219.0', '126.0', '1']","['180.0', '106.5', '1']","['196.5', '106.5', '1']","['207.0', '184.5', '1']","['241.5', '183.0', '1']","['192.0', '225.0', '1']","['258.0', '231.0', '1']","['186.0', '261.0', '1']","['282.0', '265.5', '1']",4
"['289.0625', '116.39583333333334', '1']","['279.8125', '128.72916666666669', '1']","['302.9375', '127.95833333333334', '1']","['286.75', '148.0', '1']","['326.0625', '140.29166666666669', '1']","['301.39583333333337', '140.29166666666669', '1']","['312.1875', '131.8125', '1']","['278.27083333333337', '168.8125', '1']","['303.70833333333337', '168.04166666666669', '1']","['269.7916666666667', '199.64583333333334', '1']","['312.1875', '199.64583333333334', '1']","['258.2291666666667', '222.77083333333334', '1']","['324.52083333333337', '222.0', '1']",4
"['156.0', '105.6', '1']","['134.4', '109.2', '1']","['168.0', '126.0', '1']","['106.8', '134.4', '0']","['139.2', '141.6', '1']","['93.6', '114.0', '0']","['116.39999999999999', '114.0', '1']","['139.2', '187.2', '1']","['171.6', '181.2', '1']","['129.6', '225.6', '1']","['187.2', '225.6', '1']","['123.6', '268.8', '1']","['206.4', '267.59999999999997', '1']",4
"['337.5', '198.0', '1']","['284.25', '188.25', '0']","['302.25', '230.25', '1']","['242.25', '141.0', '0']","['270.75', '153.75', '1']","['241.5', '137.25', '0']","['0.75', '0.75', '0']","['120.0', '169.5', '1']","['125.25', '210.75', '1']","['45.0', '138.75', '1']","['24.0', '157.5', '1']","['42.75', '251.25', '1']","['0.75', '0.75', '0']",8
"['192.0', '133.5', '1']","['195.0', '163.5', '1']","['1.5', '1.5', '0']","['169.5', '135.0', '1']","['286.5', '103.5', '1']","['154.5', '81.0', '1']","['298.5', '55.5', '1']","['262.5', '183.0', '1']","['306.0', '169.5', '1']","['355.5', '238.5', '1']","['408.0', '211.5', '1']","['1.5', '1.5', '0']","['1.5', '1.5', '0']",8
"['225.75', '200.25', '1']","['255.0', '210.75', '1']","['248.25', '192.75', '1']","['264.75', '173.25', '1']","['252.75', '163.5', '1']","['0.75', '0.75', '0']","['0.75', '0.75', '0']","['315.75', '202.5', '1']","['0.75', '0.75', '0']","['379.5', '183.75', '1']","['0.75', '0.75', '0']","['384.0', '234.75', '1']","['371.25', '228.0', '1']",8
"['309.0', '236.25', '1']","['276.75', '236.25', '1']","['309.0', '249.0', '1']","['255.75', '213.75', '1']","['329.25', '231.0', '1']","['242.25', '174.75', '1']","['342.0', '195.75', '1']","['229.5', '258.0', '1']","['267.75', '279.0', '1']","['150.75', '285.0', '1']","['223.5', '320.25', '1']","['0.75', '0.75', '0']","['0.75', '0.75', '0']",8
"['256.5', '213.0', '0']","['1.5', '1.5', '0']","['240.0', '216.0', '1']","['189.0', '180.0', '1']","['243.0', '175.5', '1']","['184.5', '153.0', '1']","['241.5', '139.5', '1']","['1.5', '1.5', '0']","['178.5', '214.5', '1']","['88.5', '223.5', '1']","['121.5', '229.5', '1']","['1.5', '1.5', '0']","['144.0', '303.0', '1']",8
"['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']","['217.33333333333331', '128.0', '1']","['278.66666666666663', '131.33333333333331', '1']","['214.66666666666666', '106.66666666666666', '1']","['283.3333333333333', '107.33333333333333', '1']","['234.66666666666666', '156.0', '1']","['266.0', '155.33333333333331', '1']","['222.66666666666666', '164.66666666666666', '1']","['282.0', '165.33333333333331', '1']","['208.66666666666666', '228.0', '1']","['294.66666666666663', '224.0', '1']",8
"['168.0', '132.0', '1']","['158.25', '165.75', '1']","['0.75', '0.75', '0']","['147.0', '128.25', '1']","['236.25', '107.25', '1']","['134.25', '75.75', '1']","['250.5', '65.25', '1']","['231.75', '162.0', '1']","['265.5', '144.0', '1']","['279.0', '239.25', '1']","['352.5', '195.0', '1']","['0.75', '0.75', '0']","['0.75', '0.75', '0']",8
"['213.75', '113.25', '1']","['216.75', '129.75', '1']","['252.75', '114.75', '1']","['218.25', '99.75', '1']","['270.75', '89.25', '1']","['209.25', '62.25', '1']","['273.75', '53.25', '1']","['285.0', '162.0', '1']","['321.75', '150.0', '1']","['339.75', '193.5', '1']","['381.75', '180.0', '1']","['303.0', '252.0', '1']","['359.25', '231.0', '1']",8
"['158.25', '168.0', '1']","['168.0', '184.5', '1']","['0.75', '0.75', '0']","['168.0', '139.5', '1']","['213.0', '141.0', '1']","['162.75', '99.75', '1']","['218.25', '109.5', '1']","['231.0', '176.25', '1']","['253.5', '164.25', '1']","['266.25', '182.25', '1']","['308.25', '179.25', '1']","['281.25', '259.5', '1']","['318.75', '247.5', '1']",8
"['184.66666666666666', '112.66666666666666', '1']","['135.33333333333331', '134.0', '1']","['212.0', '136.0', '1']","['118.0', '109.33333333333333', '1']","['240.0', '112.66666666666666', '1']","['100.0', '73.33333333333333', '1']","['249.33333333333331', '76.0', '1']","['145.33333333333331', '175.33333333333331', '1']","['190.0', '176.66666666666666', '1']","['85.33333333333333', '250.66666666666666', '1']","['222.66666666666666', '252.0', '1']","['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']",8
"['231.0', '121.5', '1']","['227.25', '151.5', '1']","['0.75', '0.75', '0']","['213.0', '120.0', '1']","['287.25', '101.25', '1']","['206.25', '76.5', '1']","['295.5', '60.0', '1']","['297.75', '147.0', '1']","['330.75', '134.25', '1']","['314.25', '190.5', '1']","['403.5', '157.5', '1']","['302.25', '235.5', '1']","['366.75', '207.0', '1']",8
"['0.75', '0.75', '0']","['176.25', '165.0', '1']","['0.75', '0.75', '0']","['157.5', '138.75', '1']","['251.25', '129.75', '1']","['147.75', '102.75', '1']","['259.5', '99.0', '1']","['192.0', '151.5', '1']","['236.25', '141.0', '1']","['199.5', '171.75', '1']","['255.0', '171.0', '1']","['210.75', '248.25', '1']","['251.25', '245.25', '1']",8
"['289.5238095238095', '191.42857142857142', '1']","['0.9523809523809523', '0.9523809523809523', '0']","['291.4285714285714', '220.0', '1']","['212.38095238095238', '173.33333333333331', '1']","['317.1428571428571', '208.57142857142856', '1']","['204.76190476190476', '138.09523809523807', '1']","['319.04761904761904', '160.0', '1']","['173.33333333333331', '223.8095238095238', '1']","['211.42857142857142', '248.57142857142856', '1']","['85.71428571428571', '246.66666666666666', '1']","['167.61904761904762', '300.0', '1']","['93.33333333333333', '309.5238095238095', '1']","['0.9523809523809523', '0.9523809523809523', '0']",8
"['180.0', '176.25', '0']","['171.0', '214.5', '1']","['0.75', '0.75', '0']","['163.5', '170.25', '1']","['238.5', '150.75', '1']","['156.0', '129.0', '1']","['242.25', '120.75', '1']","['261.75', '221.25', '1']","['303.0', '204.75', '1']","['309.0', '249.75', '1']","['367.5', '226.5', '1']","['0.75', '0.75', '0']","['345.0', '286.5', '1']",8
"['0.75', '0.75', '0']","['205.5', '160.5', '1']","['0.75', '0.75', '0']","['195.0', '135.75', '1']","['249.75', '120.0', '1']","['183.75', '101.25', '1']","['252.75', '95.25', '1']","['268.5', '162.75', '1']","['285.0', '149.25', '1']","['303.0', '180.0', '1']","['345.75', '165.75', '1']","['283.5', '233.25', '1']","['327.0', '210.75', '1']",8
"['243.0', '165.75', '0']","['0.75', '0.75', '0']","['0.75', '0.75', '0']","['203.25', '151.5', '1']","['276.75', '156.0', '1']","['198.75', '108.0', '1']","['278.25', '110.25', '1']","['213.0', '199.5', '1']","['269.25', '198.0', '1']","['181.5', '240.75', '1']","['305.25', '240.0', '1']","['0.75', '0.75', '0']","['0.75', '0.75', '0']",8
"['283.3333333333333', '190.66666666666666', '1']","['224.0', '180.66666666666666', '1']","['280.66666666666663', '228.66666666666666', '1']","['181.33333333333331', '150.66666666666666', '1']","['252.66666666666666', '168.66666666666666', '1']","['179.33333333333331', '94.66666666666666', '1']","['254.66666666666666', '108.66666666666666', '1']","['112.0', '221.33333333333331', '1']","['161.33333333333331', '232.66666666666666', '1']","['19.333333333333332', '262.0', '1']","['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']",8
"['252.66666666666666', '6.0', '0']","['302.0', '17.333333333333332', '0']","['264.66666666666663', '12.666666666666666', '0']","['376.66666666666663', '12.0', '0']","['259.3333333333333', '68.66666666666666', '0']","['403.3333333333333', '54.0', '1']","['320.0', '24.0', '1']","['380.66666666666663', '73.33333333333333', '1']","['317.3333333333333', '79.33333333333333', '0']","['361.3333333333333', '164.66666666666666', '1']","['313.3333333333333', '148.0', '1']","['352.0', '250.0', '1']","['308.66666666666663', '226.66666666666666', '1']",12
"['220.66666666666666', '124.66666666666666', '1']","['228.0', '150.0', '1']","['201.33333333333331', '140.66666666666666', '1']","['231.33333333333331', '170.0', '0']","['190.66666666666666', '152.66666666666666', '0']","['225.33333333333331', '186.0', '0']","['186.66666666666666', '166.0', '0']","['223.33333333333331', '179.33333333333331', '1']","['195.33333333333331', '179.33333333333331', '1']","['218.66666666666666', '215.33333333333331', '1']","['204.0', '212.66666666666666', '1']","['212.66666666666666', '242.0', '1']","['206.66666666666666', '236.66666666666666', '0']",12
"['166.66666666666666', '50.666666666666664', '1']","['174.66666666666666', '82.0', '1']","['142.66666666666666', '66.0', '1']","['166.66666666666666', '132.0', '1']","['185.33333333333331', '120.66666666666666', '0']","['174.66666666666666', '152.0', '0']","['196.66666666666666', '124.66666666666666', '0']","['150.66666666666666', '135.33333333333331', '1']","['103.33333333333333', '139.33333333333331', '1']","['141.33333333333331', '201.33333333333331', '1']","['117.33333333333333', '197.33333333333331', '1']","['138.66666666666666', '244.66666666666666', '1']","['115.33333333333333', '234.0', '1']",12
"['190.66666666666666', '6.0', '0']","['184.66666666666666', '16.0', '1']","['244.66666666666666', '48.666666666666664', '0']","['189.33333333333331', '83.33333333333333', '1']","['212.66666666666666', '56.666666666666664', '0']","['215.33333333333331', '84.66666666666666', '1']","['182.0', '72.0', '0']","['131.33333333333331', '133.33333333333331', '1']","['91.33333333333333', '105.33333333333333', '1']","['146.66666666666666', '225.33333333333331', '1']","['119.33333333333333', '213.33333333333331', '1']","['144.66666666666666', '239.33333333333331', '0']","['128.66666666666666', '260.0', '0']",12
"['43.33333333333333', '22.0', '1']","['43.33333333333333', '64.0', '1']","['12.0', '34.0', '0']","['16.666666666666664', '114.66666666666666', '1']","['90.66666666666666', '66.66666666666666', '0']","['6.0', '173.33333333333331', '0']","['88.0', '103.33333333333333', '0']","['32.666666666666664', '122.66666666666666', '0']","['38.0', '131.33333333333331', '0']","['38.0', '195.33333333333331', '0']","['40.666666666666664', '197.33333333333331', '0']","['85.33333333333333', '230.0', '0']","['29.333333333333332', '250.66666666666666', '0']",12
"['246.0', '72.75', '1']","['270.75', '88.5', '1']","['236.25', '104.25', '1']","['287.25', '111.75', '0']","['234.75', '130.5', '1']","['219.75', '118.5', '0']","['220.5', '125.25', '0']","['282.0', '144.75', '1']","['255.0', '147.75', '1']","['274.5', '195.0', '1']","['251.25', '195.75', '1']","['280.5', '238.5', '1']","['252.75', '234.75', '1']",12
"['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']","['0.6666666666666666', '0.6666666666666666', '0']","['236.0', '24.0', '1']","['0.6666666666666666', '0.6666666666666666', '0']","['263.3333333333333', '102.66666666666666', '1']","['89.33333333333333', '8.666666666666666', '0']","['194.66666666666666', '5.333333333333333', '0']","['143.33333333333331', '13.333333333333332', '0']","['174.0', '130.66666666666666', '1']","['96.0', '160.0', '1']","['164.0', '242.66666666666666', '1']","['94.66666666666666', '250.0', '0']",12
"['468.75', '104.25', '0']","['324.75', '104.25', '0']","['449.25', '150.0', '0']","['454.5', '117.75', '1']","['467.25', '154.5', '0']","['432.0', '113.25', '1']","['463.5', '198.0', '0']","['455.25', '204.75', '0']","['461.25', '211.5', '0']","['453.75', '204.75', '0']","['462.0', '253.5', '0']","['439.5', '288.75', '0']","['444.0', '297.75', '0']",12
"['130.66666666666666', '4.666666666666666', '0']","['178.0', '8.666666666666666', '0']","['103.33333333333333', '41.33333333333333', '1']","['205.33333333333331', '64.0', '0']","['136.66666666666666', '94.66666666666666', '0']","['244.0', '98.0', '0']","['137.33333333333331', '126.66666666666666', '0']","['192.0', '128.66666666666666', '1']","['136.66666666666666', '132.0', '1']","['167.33333333333331', '198.66666666666666', '1']","['136.66666666666666', '183.33333333333331', '1']","['152.66666666666666', '258.66666666666663', '0']","['156.0', '246.66666666666666', '0']",12
"['41.33333333333333', '88.0', '1']","['50.666666666666664', '119.33333333333333', '1']","['6.666666666666666', '103.33333333333333', '1']","['54.666666666666664', '140.66666666666666', '1']","['82.66666666666666', '153.33333333333331', '0']","['80.0', '140.66666666666666', '1']","['62.666666666666664', '124.0', '1']","['29.333333333333332', '167.33333333333331', '1']","['0.6666666666666666', '0.6666666666666666', '0']","['43.33333333333333', '220.0', '1']","['5.333333333333333', '233.33333333333331', '1']","['54.666666666666664', '260.66666666666663', '1']","['5.333333333333333', '267.3333333333333', '0']",12
"['148.66666666666666', '18.0', '1']","['168.66666666666666', '61.33333333333333', '1']","['108.0', '41.33333333333333', '1']","['168.0', '116.0', '1']","['141.33333333333331', '117.33333333333333', '0']","['172.66666666666666', '150.66666666666666', '1']","['134.0', '148.66666666666666', '0']","['147.33333333333331', '172.66666666666666', '1']","['100.66666666666666', '170.0', '1']","['146.66666666666666', '205.33333333333331', '1']","['110.66666666666666', '210.0', '1']","['139.33333333333331', '253.33333333333331', '1']","['111.33333333333333', '248.66666666666666', '1']",12
"['200.0', '76.0', '1']","['207.33333333333331', '119.33333333333333', '1']","['164.0', '88.0', '1']","['198.66666666666666', '153.33333333333331', '0']","['140.66666666666666', '100.0', '0']","['192.66666666666666', '195.33333333333331', '0']","['118.0', '125.33333333333333', '0']","['180.66666666666666', '186.66666666666666', '1']","['140.0', '181.33333333333331', '1']","['182.66666666666666', '223.33333333333331', '1']","['155.33333333333331', '230.0', '1']","['170.66666666666666', '262.0', '0']","['138.0', '251.33333333333331', '0']",12
"['295.3906633906634', '31.41031941031941', '1']","['341.5036855036855', '88.21621621621621', '1']","['253.2874692874693', '72.84520884520884', '1']","['344.84520884520884', '167.74447174447175', '1']","['227.2235872235872', '141.01228501228502', '0']","['329.47420147420144', '194.47665847665846', '0']","['221.87714987714986', '181.1105651105651', '0']","['330.14250614250614', '199.82309582309583', '1']","['247.94103194103192', '191.8034398034398', '1']","['313.43488943488944', '268.6584766584767', '1']","['264.64864864864865', '272.66830466830464', '0']","['279.35135135135135', '267.32186732186733', '0']","['237.9164619164619', '270.66339066339066', '0']",12
